iucn_sid,species,allXcoastal,allXfull,biomass_removalXfull,bycatch_pelagicXfull,climateXfull,direct_humanXfull,fishing_benthic_destXfull,non-climateXfull,ocean_acidificationXfull,biomass_removalXcoastal,bycatch_pelagicXcoastal,climateXcoastal,direct_humanXcoastal,fishing_benthic_destXcoastal,non-climateXcoastal,ocean_acidificationXcoastal,lightXcoastal,lightXfull,nutrientXcoastal,nutrientXfull,sst_extremesXcoastal,sst_extremesXfull,sst_riseXcoastal,sst_riseXfull,uv_radiationXcoastal,uv_radiationXfull,bycatch_benthicXcoastal,bycatch_benthicXfull,shipping_largeXcoastal,shipping_largeXfull,sea_level_riseXcoastal,sea_level_riseXfull
NA,achelia borealis,0.4048281115198896,0.4048281115198896,0,NA,0.2882674881581973,0.08156079535525408,0.0012328539894228558,0.11656062336169234,0.03688618027132674,0,NA,0.2882674881581973,0.08156079535525408,0.0012328539894228558,0.11656062336169234,0.03688618027132674,0.0021203154748217984,0.0021203154748217984,0.007101043458266267,0.007101043458266267,0.11169933272016555,0.11169933272016555,0,0,0.139681975166705,0.139681975166705,0.02454561508392734,0.02454561508392734,NA,NA,NA,NA
NA,achelia latifrons,0.40255652126200275,0.40255652126200275,0,NA,0.35773900411522636,0.03141905898491083,0.0010195692729766804,0.044817517146776405,0.03699704526748972,0,NA,0.35773900411522636,0.03141905898491083,0.0010195692729766804,0.044817517146776405,0.03699704526748972,0,0,1.6825514403292181e-4,1.6825514403292181e-4,0.13486736899862828,0.13486736899862828,0,0,0.18587458710562413,0.18587458710562413,0.012210633744855967,0.012210633744855967,NA,NA,NA,NA
NA,achelia spinosa,0.4033973754634854,0.4033973754634854,0,NA,0.29045811562953405,0.07778086127680155,0.0012161258665162019,0.11293925983395131,0.036937066943414476,0,NA,0.29045811562953405,0.07778086127680155,0.0012161258665162019,0.11293925983395131,0.036937066943414476,0.002181939182653555,0.002181939182653555,0.007672920159600194,0.007672920159600194,0.1152476380380461,0.1152476380380461,0,0,0.13827341064807352,0.13827341064807352,0.02408741354989521,0.02408741354989521,NA,NA,NA,NA
NA,acipenser medirostris,0.2622700185588122,0.2622700185588122,0,NA,0.17756360339604932,0.0344554349588293,3.8325099193651607e-4,0.08470641494944323,0.024707645804001876,0,NA,0.17756360339604932,0.0344554349588293,3.8325099193651607e-4,0.08470641494944323,0.024707645804001876,5.853167797260975e-4,5.853167797260975e-4,0.0037120890396347963,0.0037120890396347963,0.07217080613507403,0.07217080613507403,0,0,0.08068515145697341,0.08068515145697341,0.031152191859720978,0.031152191859720978,0.014418131746234908,0.014418131746234908,NA,NA
NA,acipenser transmontanus,0.2959012983254755,0.2959012983254755,0,NA,0.1567491975288571,0.0564136013656316,5.780991708665258e-4,0.13915210047146806,0.025084742968622988,0,NA,0.1567491975288571,0.0564136013656316,5.780991708665258e-4,0.13915210047146806,0.025084742968622988,0.006764208421394895,0.006764208421394895,0.018794059177369534,0.018794059177369534,0.05422566639570802,0.05422566639570802,0,0,0.0774387881645261,0.0774387881645261,0.03148441716794017,0.03148441716794017,0.02511771516826532,0.02511771516826532,NA,NA
NA,acteocina culcitella,0.48605526537924854,0.48605526537924854,1.30262881358852e-4,NA,0.4166064734965288,0.027310203621078742,3.2061086323623145e-4,0.06944879205498802,0.18350616703130115,1.30262881358852e-4,NA,0.4166064734965288,0.027310203621078742,3.2061086323623145e-4,0.06944879205498802,0.18350616703130115,0.0031892868094196285,0.0031892868094196285,0.01893825440576065,0.01893825440576065,0.13943834932556978,0.13943834932556978,0,0,0.09366195713965789,0.09366195713965789,0.019560173301865665,0.019560173301865665,NA,NA,NA,NA
NA,adalaria proxima,0.49250417411536274,0.49250417411536274,4.832643701248703e-4,NA,0.42464482056174885,0.026337275451106427,3.3268169796792877e-4,0.06785935355361387,0.18354611763918183,4.832643701248703e-4,NA,0.42464482056174885,0.026337275451106427,3.3268169796792877e-4,0.06785935355361387,0.18354611763918183,0.003098907134009575,0.003098907134009575,0.01839877489873121,0.01839877489873121,0.14780006343945631,0.14780006343945631,0,0,0.09329863931572428,0.09329863931572428,0.019208450001673864,0.019208450001673864,NA,NA,NA,NA
NA,adelogorgia phyllosclera,0.7435547131147541,0.7435547131147541,0,NA,0.6936547540983606,0.03731209016393443,7.415368852459016e-4,0.04989993852459016,0.19378534836065575,0,NA,0.6936547540983606,0.03731209016393443,7.415368852459016e-4,0.04989993852459016,0.19378534836065575,0,0,1.7631147540983605e-4,1.7631147540983605e-4,0.26704612704918035,0.26704612704918035,0,0,0.2061099795081967,0.2061099795081967,0.004937336065573771,0.004937336065573771,0.006732704918032787,0.006732704918032787,0.026713299180327867,0.026713299180327867
NA,aeolidia papillosa,0.41794457769988314,0.41794457769988314,4.985671841094976e-4,NA,0.3443235069270572,0.02303696494742113,2.9364947421131696e-4,0.07362107077282591,0.12618477766649974,4.985671841094976e-4,NA,0.3443235069270572,0.02303696494742113,2.9364947421131696e-4,0.07362107077282591,0.12618477766649974,0.0026247341011517273,0.0026247341011517273,0.018573232682356867,0.018573232682356867,0.10461305758637957,0.10461305758637957,0,0,0.11352567167417793,0.11352567167417793,0.028593922383575367,0.028593922383575367,NA,NA,NA,NA
NA,aeropsis fulva,0.15677588235294118,0.15677588235294118,0,NA,0.15677588235294118,0,0,0,0.15677588235294118,0,NA,0.15677588235294118,0,0,0,0.15677588235294118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA
NA,aglaophamus malmgreni,0.23608064997142414,0.23608064997142414,0,NA,0.19676168857484283,NA,NA,0.03931896139658129,0.01516573336104328,0,NA,0.19676168857484283,NA,NA,0.03931896139658129,0.01516573336104328,0.0018871709876863926,0.0018871709876863926,0.002378652777056165,0.002378652777056165,0.04981282797319063,0.04981282797319063,0.019429822829531877,0.019429822829531877,0.11235330493063854,0.11235330493063854,0.023963469112069414,0.023963469112069414,0.011089668519769315,0.011089668519769315,NA,NA
NA,agonomalus mozinoi,0.24983758182933793,0.24983758182933793,2.035731967924169e-4,NA,0.19832234538645452,0.011224079300933077,1.2290227027484502e-4,0.05151523665446544,0.02636337409813173,2.035731967924169e-4,NA,0.19832234538645452,0.011224079300933077,1.2290227027484502e-4,0.05151523665446544,0.02636337409813173,8.40546516302393e-4,8.40546516302393e-4,0.004293154899181178,0.004293154899181178,0.08438196157670906,0.08438196157670906,0,0,0.08757700971161374,0.08757700971161374,0.024791328946533228,0.024791328946533228,0.0100396515244483,0.0100396515244483,NA,NA
NA,agonopsis vulsa,0.2574278200680499,0.2574278200680499,9.777920475015012e-5,NA,0.19018290930015347,0.013634156548135297,1.7333828140636467e-4,0.06724491060110749,0.025956117986523447,9.777920475015012e-5,NA,0.19018290930015347,0.013634156548135297,1.7333828140636467e-4,0.06724491060110749,0.025956117986523447,0.004806158182667289,0.004806158182667289,0.012497997197945159,0.012497997197945159,0.07682252968843818,0.07682252968843818,0.004795849456267929,0.004795849456267929,0.08260841216892388,0.08260841216892388,0.024762579391553807,0.024762579391553807,0.011272902128227368,0.011272902128227368,NA,NA
NA,albatrossia pectoralis,0.2619366385830541,0.2619366385830541,1.1258975586404979e-6,NA,0.20291031689803735,0.02150376352321685,5.083657252273816e-4,0.05902632264241264,0.024933008137865007,1.1258975586404979e-6,NA,0.20291031689803735,0.02150376352321685,5.083657252273816e-4,0.05902632264241264,0.024933008137865007,0,0,3.629937769267592e-4,3.629937769267592e-4,0.08166139875538536,0.08166139875538536,0,0,0.09631591000478697,0.09631591000478697,0.0324737549066539,0.0324737549066539,0.004176318812829104,0.004176318812829104,NA,NA
NA,aldrovandia affinis,0.035966034482758626,0.02425520357958682,0,5.573567286693275e-4,0.02344485315159274,5.58212214775209e-6,6.771970780932299e-6,8.103504279940759e-4,0.02344485315159274,0,0.0022212931034482756,0.024654827586206896,0.0038340517241379313,0,0.011311206896551724,0.024654827586206896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005255862068965517,2.4063960639606396e-4,NA,NA,NA,NA
NA,aldrovandia phalacra,NA,0.024112622860430553,0,7.098127726902239e-4,0.023400239727669365,0,2.329913218583689e-6,7.123831327611834e-4,0.023400239727669365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.406865800450688e-7,NA,NA,NA,NA
NA,alectrias alectrolophus,0.2786000818462364,0.2786000818462364,1.8337134934478286e-7,NA,0.23574762422290801,0.00926281631557762,1.4584082472382488e-4,0.04285245762332841,0.02602118654680442,1.8337134934478286e-7,NA,0.23574762422290801,0.00926281631557762,1.4584082472382488e-4,0.04285245762332841,0.02602118654680442,6.487937743190662e-4,6.487937743190662e-4,0.002449558119772798,0.002449558119772798,0.08374213560534907,0.08374213560534907,0.039095153182163785,0.039095153182163785,0.08688914888859073,0.08688914888859073,0.021565795205510083,0.021565795205510083,0.008779470235699272,0.008779470235699272,NA,NA
NA,alepisaurus ferox,0.2831036000194071,0.29319038314496726,0,0.008840051466500031,0.2800844461446868,8.770427427806671e-4,6.939229183375238e-4,0.01310593697567888,0.02359483659632256,0,0.03978069307651254,0.22619006695453883,0.008648260152345835,0.0026346244723691233,0.05691353306486827,0.02448074790160594,0,0,1.3343651448255786e-4,1.3808767018141205e-5,0.1190107631847072,0.1538316779505902,0,1.946612116768927e-5,0.0826985558682257,0.10263846547660635,NA,NA,0.005716518849158216,0.0026811111056440936,NA,NA
NA,alepocephalus tenebrosus,0.24856656268891308,0.24856656268891308,0,NA,0.2080627626647322,0.018685881997340104,5.425667996614678e-4,0.04050380002418087,0.024395999274573813,0,NA,0.2080627626647322,0.018685881997340104,5.425667996614678e-4,0.04050380002418087,0.024395999274573813,0,0,2.8411316648531014e-4,2.8411316648531014e-4,0.08515686132269376,0.08515686132269376,0,0,0.09850990206746463,0.09850990206746463,0.018759567162374563,0.018759567162374563,0.0022316708983194295,0.0022316708983194295,NA,NA
NA,alia carinata,0.47269152235898343,0.47269152235898343,1.091959621004162e-4,NA,0.400045327016736,0.029044779775081908,2.7944815372354557e-4,0.07264619534224741,0.18315385406889223,1.091959621004162e-4,NA,0.400045327016736,0.029044779775081908,2.7944815372354557e-4,0.07264619534224741,0.18315385406889223,0.003419104932258921,0.003419104932258921,0.019997310192154432,0.019997310192154432,0.12174088727530329,0.12174088727530329,0,0,0.09515058567254052,0.09515058567254052,0.019796356149827325,0.019796356149827325,NA,NA,NA,NA
NA,alitta succinea,0.1777980326530612,0.1777980326530612,0,NA,0.14872192653061225,NA,NA,0.029076110204081632,0.014645775510204082,0,NA,0.14872192653061225,NA,NA,0.029076110204081632,0.014645775510204082,0.012947926530612245,0.012947926530612245,0.01612818367346939,0.01612818367346939,0.06988343673469387,0.06988343673469387,0,0,0.06419271428571428,0.06419271428571428,NA,NA,NA,NA,NA,NA
NA,allocareproctus jordani,0.38911178387650086,0.38911178387650086,0,NA,0.3720715380217267,0.006554648370497427,5.93767867352773e-5,0.017040251572327043,0.025893161806746712,0,NA,0.3720715380217267,0.006554648370497427,5.93767867352773e-5,0.017040251572327043,0.025893161806746712,0,0,3.8699828473413384e-4,3.8699828473413384e-4,0.08249595769010863,0.08249595769010863,0.1526981074899943,0.1526981074899943,0.11098431103487706,0.11098431103487706,0.00962034877072613,0.00962034877072613,4.188736420811892e-4,4.188736420811892e-4,NA,NA
NA,allocareproctus unangas,0.07989021232876713,0.07989021232876713,1.3150684931506849e-5,NA,0.02658204109589041,0.009593849315068494,2.0114383561643836e-4,0.05330817123287671,0.02658204109589041,1.3150684931506849e-5,NA,0.02658204109589041,0.009593849315068494,2.0114383561643836e-4,0.05330817123287671,0.02658204109589041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04350002739726027,0.04350002739726027,NA,NA,NA,NA
NA,allocyttus folletti,0.08606583751019932,0.08606583751019932,0,NA,0.024475468003263785,0.03232043245133465,5.591654038932277e-4,0.06159036950693554,0.024475468003263785,0,NA,0.024475468003263785,0.03232043245133465,5.591654038932277e-4,0.06159036950693554,0.024475468003263785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02871077165170766,0.02871077165170766,NA,NA,NA,NA
NA,allosergestes pestafer,0.49488351667641894,0.5193409061884812,3.7196620564332946e-4,0.03864110405835142,0.47551386754833175,0.0026914491948917267,0.002040060698601787,0.04382703864014941,0.1657207137448892,3.7624519805632583e-4,0.03682553463759635,0.4505447080672654,0.005426036074999364,0.001547989671050958,0.04433880860915359,0.16620959574630473,0,0,1.630025186353576e-4,8.245835646862854e-5,0.20175387004859185,0.22351501211448185,0,0,0.08258124227236878,0.08627814156276815,NA,NA,NA,NA,NA,NA
NA,allosmerus elongatus,0.3353178651776321,0.3353178651776321,1.0178684146637534e-4,NA,0.1581024447681476,0.08364241968115238,7.63600388443797e-4,0.17721542040948451,0.024063244314963178,1.0178684146637534e-4,NA,0.1581024447681476,0.08364241968115238,7.63600388443797e-4,0.17721542040948451,0.024063244314963178,0.016510524399126002,0.016510524399126002,0.03428171238973861,0.03428171238973861,0.06442554827223436,0.06442554827223436,0.008002345229424617,0.008002345229424617,0.06161130695152545,0.06161130695152545,0.027167742979687628,0.027167742979687628,0.014747634539127618,0.014747634539127618,NA,NA
NA,alopias vulpinus,0.16032668983224502,0.06066649659826071,0.00031240466778758897,0.025609339672854007,0.02174752805460599,0.004678386807264468,8.76264990479584e-4,0.038918968521384746,NA,0.0010067556257792151,0.09608091715939811,0.01496194467418005,0.025931779881744457,0.0022802457690930863,0.14536474515806497,NA,NA,NA,0.003447446766488502,6.713967508100705e-4,0.01496194467418005,0.02172461734608661,0,2.291070851938045e-5,NA,NA,NA,NA,0.016617599832121563,0.006771175632189028,NA,NA
NA,amblyraja badia,0.03950209302325581,0.03950209302325581,3.0106976744186044e-4,NA,0,0.023834418604651166,5.1209302325581396e-5,0.039502093023255816,NA,3.0106976744186044e-4,NA,0,0.023834418604651166,5.1209302325581396e-5,0.039502093023255816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.015315418604651163,0.015315418604651163,NA,NA,NA,NA
NA,amblyraja hyperborea,0.10592853138770499,0.10592853138770499,1.2172722675720581e-4,NA,0.014726934190565628,0.056162318139131695,0.0018050899371523513,0.09120159719713936,NA,1.2172722675720581e-4,NA,0.014726934190565628,0.056162318139131695,0.0018050899371523513,0.09120159719713936,NA,NA,NA,2.2129162753738353e-4,2.2129162753738353e-4,0.014726934190565628,0.014726934190565628,0,0,NA,NA,0.03289117026656072,0.03289117026656072,NA,NA,NA,NA
NA,ammodytes hexapterus,0.28893307797304213,0.2961419435401218,1.860643877735576e-7,0.028325722553807196,0.22787441113522636,0.006209901504190029,8.251572767830228e-4,0.06826753248025562,0.026086845948634474,2.131675481999659e-7,0.03157681165756696,0.21097148812062788,0.00878720664135813,5.67538602627538e-4,0.07796158985241428,0.02612920619348234,0.003098178745094694,0.0021894767739796227,0.008907442309332879,0.0065999345873274246,0.10081737960672241,0.11374278787604751,0.0013522164519706534,0.001649182643033701,0.08267268586845247,0.08639559459215049,0.013964054875447876,0.014356999231325737,0.011060143960075073,0.009760154413094592,NA,NA
NA,ammodytes personatus,0.24117833618331053,0.24117833618331053,5.0159598723210215e-8,NA,0.17562420295637635,0.013784084017327862,1.6999145006839944e-4,0.06555413322693418,0.025831133910928714,5.0159598723210215e-8,NA,0.17562420295637635,0.013784084017327862,1.6999145006839944e-4,0.06555413322693418,0.025831133910928714,0.005136437528499772,0.005136437528499772,0.014003977428180573,0.014003977428180573,0.06527673050615596,0.06527673050615596,0,0,0.0845163383492932,0.0845163383492932,0.02087750683994528,0.02087750683994528,0.011582085613315094,0.011582085613315094,NA,NA
NA,ampelisca abdita,0.46846322419738207,0.46846322419738207,0,0.03611755314519099,0.37410786866860835,0.02606053413009273,3.291859997991363e-4,0.09435535552877372,0.16725836346289044,0,0.03611755314519099,0.37410786866860835,0.02606053413009273,3.291859997991363e-4,0.09435535552877372,0.16725836346289044,0.0042006511332061194,0.0042006511332061194,0.014773197582939974,0.014773197582939974,0.1290826537444344,0.1290826537444344,0,0,0.07776685146128352,0.07776685146128352,0.012874233537544775,0.012874233537544775,NA,NA,NA,NA
NA,ampelisca agassizi,0.44120704179224085,0.44120704179224085,0,NA,0.37699764454819434,0.02446667317039179,3.1474679023744403e-4,0.06420939706983955,0.1673961191923767,0,NA,0.37699764454819434,0.02446667317039179,3.1474679023744403e-4,0.06420939706983955,0.1673961191923767,0.0031659594446283297,0.0031659594446283297,0.01178788652161037,0.01178788652161037,0.13139386303851716,0.13139386303851716,0,0,0.07820766249150742,0.07820766249150742,0.024474131142971624,0.024474131142971624,NA,NA,NA,NA
NA,ampelisca brevisimulata,0.4454116428714391,0.4454116428714391,0,NA,0.37449881446394023,0.025974214590699846,3.3022383080926013e-4,0.07091282840749882,0.16724954850223497,0,NA,0.37449881446394023,0.025974214590699846,3.3022383080926013e-4,0.07091282840749882,0.16724954850223497,0.004185657815731536,0.004185657815731536,0.01472050303555941,0.01472050303555941,0.12948951998131963,0.12948951998131963,0,0,0.07775974598038561,0.07775974598038561,0.02570222913469878,0.02570222913469878,NA,NA,NA,NA
NA,ampelisca cristata,0.4199930795262267,0.4199930795262267,0,NA,0.40158294416243656,0.008694450084602368,1.701015228426396e-4,0.018410135363790187,0.16207785109983078,0,NA,0.40158294416243656,0.008694450084602368,1.701015228426396e-4,0.018410135363790187,0.16207785109983078,0,0,3.021996615905245e-4,3.021996615905245e-4,0.1753876649746193,0.1753876649746193,0,0,0.06411742808798647,0.06411742808798647,0.009243384094754652,0.009243384094754652,NA,NA,NA,NA
NA,ampelisca lobata,0.4468137847174949,0.4468137847174949,0,NA,0.3767717916950306,0.025957622021783526,3.3694520081688223e-4,0.07004199302246426,0.16719007215793055,0,NA,0.3767717916950306,0.025957622021783526,3.3694520081688223e-4,0.07004199302246426,0.16719007215793055,0.004270852620830497,0.004270852620830497,0.014942550884955753,0.014942550884955753,0.13193654169503063,0.13193654169503063,0,0,0.07764517784206944,0.07764517784206944,0.024534022294077605,0.024534022294077605,NA,NA,NA,NA
NA,ampelisca vadorum,0.44589380356323277,0.44589380356323277,0,NA,0.38709258396962487,0.022608419702090373,3.295170442692035e-4,0.05880121959360787,0.1670344208703634,0,NA,0.38709258396962487,0.022608419702090373,3.295170442692035e-4,0.05880121959360787,0.1670344208703634,0.00226867067217424,0.00226867067217424,0.007904203696749698,0.007904203696749698,0.14263488025201318,0.14263488025201318,0,0,0.07742328284724831,0.07742328284724831,0.025690408686944548,0.025690408686944548,NA,NA,NA,NA
NA,ampharete finmarchica,0.23384681768698773,0.23384681768698773,0,NA,0.22357272925204918,NA,NA,0.010274088755122951,0.02853794505635246,0,NA,0.22357272925204918,NA,NA,0.010274088755122951,0.02853794505635246,0.0038392991162909834,0.0038392991162909834,0.00550626696977459,0.00550626696977459,0.09180455782530737,0.09180455782530737,8.654591444672131e-4,8.654591444672131e-4,0.10236476754610656,0.10236476754610656,5.756384477459016e-4,5.756384477459016e-4,3.5288422131147536e-4,3.5288422131147536e-4,NA,NA
NA,ampheraster marianus,0.1839860808637721,0.1839860808637721,0,NA,0.1463075028715828,0.023209926487479902,3.065058580289455e-4,0.03767857569492305,0.1463075028715828,0,NA,0.1463075028715828,0.023209926487479902,3.065058580289455e-4,0.03767857569492305,0.1463075028715828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01416214564668045,0.01416214564668045,NA,NA,NA,NA
NA,amphicteis gunneri,0.23721781842456607,0.23721781842456607,0,NA,0.23567855629728526,NA,NA,0.0015392621272808187,0.028504160213618155,0,NA,0.23567855629728526,NA,NA,0.0015392621272808187,0.028504160213618155,3.69781041388518e-4,3.69781041388518e-4,3.979777481085892e-4,3.979777481085892e-4,0.0851806844681798,0.0851806844681798,0,0,0.12199371250556296,0.12199371250556296,6.392550066755674e-4,6.392550066755674e-4,1.3224833110814417e-4,1.3224833110814417e-4,NA,NA
NA,amphicteis scaphobranchiata,0.22259171016976168,0.22259171016976168,0,NA,0.21941690563481311,NA,NA,0.003174804335697776,0.028664626803219895,0,NA,0.21941690563481311,NA,NA,0.003174804335697776,0.028664626803219895,3.9840778672192554e-4,3.9840778672192554e-4,0.001908234637762015,0.001908234637762015,0.08607175420419223,0.08607175420419223,0,0,0.10468052462740096,0.10468052462740096,5.280345899418187e-4,5.280345899418187e-4,3.401275205228341e-4,3.401275205228341e-4,NA,NA
NA,amphilectus digitatus,0.3137804876773087,0.3137804876773087,0,NA,0.26482027825432025,0.026594627808694923,2.915310264027784e-4,0.04896020942298841,0.06214971421398385,0,NA,0.26482027825432025,0.026594627808694923,2.915310264027784e-4,0.04896020942298841,0.06214971421398385,5.312402192560358e-4,5.312402192560358e-4,0.0023810902129796224,0.0023810902129796224,0.10282150905895644,0.10282150905895644,0.0060324425708188625,0.0060324425708188625,0.09381661220134734,0.09381661220134734,0.019161719946441273,0.019161719946441273,NA,NA,NA,NA
NA,amphiodia occidentalis,0.6065330584507629,0.6065330584507629,0,NA,0.5305637772033687,0.04049266405403152,5.147534395063787e-4,0.07596928124739433,0.197541309764029,0,NA,0.5305637772033687,0.04049266405403152,5.147534395063787e-4,0.07596928124739433,0.197541309764029,0.002700953889769032,0.002700953889769032,0.022839731843575416,0.022839731843575416,0.21825703243558742,0.21825703243558742,0.012901456516301176,0.012901456516301176,0.101863978487451,0.101863978487451,0.009421178020511964,0.009421178020511964,NA,NA,NA,NA
NA,amphiodia periercta,0.5599815091499509,0.5599815091499509,0,NA,0.48685475780536486,0.04027885837026012,5.166940094036464e-4,0.07312675134458614,0.18426334539796368,0,NA,0.48685475780536486,0.04027885837026012,5.166940094036464e-4,0.07312675134458614,0.18426334539796368,0.0017226895105368198,0.0017226895105368198,0.021059878564421746,0.021059878564421746,0.19312090941379428,0.19312090941379428,0.04050048066840307,0.04050048066840307,0.0689700223252038,0.0689700223252038,0.009548630889963806,0.009548630889963806,NA,NA,NA,NA
NA,amphiodia urtica,0.49987599349620615,0.49987599349620615,0,NA,0.4256018545818394,0.040863650129242056,5.194695238889352e-4,0.07427413908113066,0.18421511731843573,0,NA,0.4256018545818394,0.040863650129242056,5.194695238889352e-4,0.07427413908113066,0.18421511731843573,0.0018188541649295422,0.0018188541649295422,0.021539043275243894,0.021539043275243894,0.17271324339197866,0.17271324339197866,0,0,0.06867349370466105,0.06867349370466105,0.009533121987826233,0.009533121987826233,NA,NA,NA,NA
