species,iucn_sid,taxon
dodecaceria fewkesi,NA,Polychaetes
dolichopteryx parini,NA,Bony fishes
dolopichthys allector,42830260,Bony fishes
dolopichthys longicornis,190278,Bony fishes
dolopichthys pullatus,60470361,Bony fishes
doris montereyensis,NA,Molluscs
doto kya,NA,Molluscs
drilonereis longa,NA,Polychaetes
dysidea fragilis,NA,Sponges
echinarachnius parma,NA,Echinoderms
ectreposebastes imus,15622831,Bony fishes
eguchipsammia fistula,NA,Corals and anemones
elassochirus tenuimanus,NA,Crustaceans
elassodiscus caudatus,NA,Bony fishes
elassodiscus tremebundus,NA,Bony fishes
electrona risso,198615,Bony fishes
eleginus gracilis,NA,Bony fishes
elysia cornigera,NA,Molluscs
embassichthys bathybius,158625197,Bony fishes
embiotoca lateralis,141481460,Bony fishes
engraulis mordax,183856,Bony fishes
enhydra lutris,7750,Marine mammals
enophrys bison,NA,Bony fishes
enophrys diceraus,NA,Bony fishes
enophrys lucasi,NA,Bony fishes
enteroctopus dofleini,162958,Cephalopods
entodesma navicula,NA,Molluscs
eopsetta jordani,154977,Bony fishes
epiactis prolifera,NA,Corals and anemones
epitonium indianorum,NA,Molluscs
epitonium tinctum,NA,Molluscs
epizoanthus scotinus,NA,Corals and anemones
eptatretus deani,196019,Bony fishes
eptatretus stoutii,196044,Bony fishes
eretmichthys pinnatus,137522168,Bony fishes
erignathus barbatus,8010,Marine mammals
erignathus barbatus,8012,Marine mammals
erignathus barbatus,8013,Marine mammals
erilepis zonifer,NA,Bony fishes
eschrichtius robustus,8097,Marine mammals
eschrichtius robustus,8099,Marine mammals
eualus gaimardii,NA,Crustaceans
eubalaena japonica,41711,Marine mammals
eubalaena japonica,133706,Marine mammals
eubranchus olivaceus,NA,Molluscs
eucopia grimaldii,NA,Crustaceans
eudistylia polymorpha,NA,Polychaetes
eudistylia vancouveri,NA,Polychaetes
eudorellopsis integra,NA,Crustaceans
eulalia viridis,NA,Polychaetes
eumesogrammus praecisus,NA,Bony fishes
eumetopias jubatus,8239,Marine mammals
eumetopias jubatus,17345844,Marine mammals
eumetopias jubatus,17367725,Marine mammals
eumicrotremus asperrimus,NA,Bony fishes
eumicrotremus barbatus,155082,Bony fishes
eumicrotremus gyrinops,NA,Bony fishes
eumicrotremus orbis,NA,Bony fishes
eumida sanguinea,NA,Polychaetes
eunice norvegica,NA,Polychaetes
eupentacta quinquesemita,NA,Echinoderms
euphausia pacifica,NA,Crustaceans
eupolymnia nebulosa,NA,Polychaetes
eurymen gyrinus,NA,Bony fishes
euspira pallida,NA,Molluscs
eusyllis blomstrandi,NA,Polychaetes
evasterias troschelii,NA,Echinoderms
evermannella indica,123322451,Bony fishes
exogone dispar,NA,Polychaetes
exogone lourei,NA,Polychaetes
facciolella equatorialis,NA,Bony fishes
flabellinopsis iodinea,NA,Molluscs
florometra asperrima,NA,Echinoderms
florometra serratissima,NA,Echinoderms
fratercula cirrhata,22694934,Seabirds
fratercula corniculata,22694931,Seabirds
fulmarus glacialis,22697866,Seabirds
fusitriton oregonensis,NA,Molluscs
gadus chalcogrammus,NA,Bony fishes
gadus macrocephalus,NA,Bony fishes
galacantha diomedeae,NA,Crustaceans
galacantha rostrata,NA,Crustaceans
galeorhinus galeus,39352,Elasmobranchs
gardinerosergia bigemmea,NA,Crustaceans
gardinerosergia gardineri,NA,Crustaceans
gasterosteus aculeatus,8951,Bony fishes
gastropteron pacificum,NA,Molluscs
gavia adamsii,22697847,Seabirds
gavia immer,22697842,Seabirds
gavia pacifica,22697839,Seabirds
gavia stellata,22697829,Seabirds
gennadas bouvieri,NA,Crustaceans
gennadas scutatus,NA,Crustaceans
gephyreaster swifti,NA,Echinoderms
gephyroberyx japonicus,123358301,Bony fishes
gersemia fruticosa,NA,Corals and anemones
gersemia rubiformis,NA,Corals and anemones
gibberichthys latifrons,137551006,Bony fishes
gibbonsia metzi,178917,Bony fishes
gibbonsia montereyensis,178902,Bony fishes
gigantactis gargantua,140026414,Bony fishes
gigantactis macronema,140026535,Bony fishes
gigantactis perlatus,140026907,Bony fishes
gigantactis vanhoeffeni,60470687,Bony fishes
glebocarcinus oregonensis,NA,Crustaceans
glycera americana,NA,Polychaetes
glycera capitata,NA,Polychaetes
glycera tesselata,NA,Polychaetes
glycera unicornis,NA,Polychaetes
glyphohesione klatti,NA,Polychaetes
glyptocephalus zachirus,158625570,Bony fishes
gnathophis nystromi,NA,Bony fishes
gnathophylloides mineri,NA,Crustaceans
gnorimosphaeroma oregonense,NA,Crustaceans
gobiesox maeandricus,NA,Bony fishes
goniada maculata,NA,Polychaetes
gorgonocephalus eucnemis,NA,Echinoderms
grampus griseus,9461,Marine mammals
grampus griseus,16378423,Marine mammals
gymnelus viridis,154650,Bony fishes
gymnocanthus detrisus,NA,Bony fishes
gymnocanthus galeatus,NA,Bony fishes
gymnocanthus pistilliger,NA,Bony fishes
halargyreus johnsonii,NA,Bony fishes
halichondria panicea,NA,Sponges
haliclona cinerea,NA,Sponges
halieutopsis bathyoreos,140337799,Bony fishes
haliphron atlanticus,163207,Cephalopods
hallaxa chani,NA,Molluscs
halosaurus radiatus,NA,Bony fishes
hedgpethia chitinosa,NA,Crustaceans
hemilepidotus gilberti,NA,Bony fishes
hemilepidotus hemilepidotus,NA,Bony fishes
hemilepidotus papilio,154722,Bony fishes
hemilepidotus spinosus,NA,Bony fishes
hemipenaeus carpenteri,NA,Crustaceans
hemitripterus bolini,NA,Bony fishes
hemitripterus villosus,NA,Bony fishes
henricia leviuscula,NA,Echinoderms
henricia sanguinolenta,NA,Echinoderms
hermissenda crassicornis,NA,Molluscs
hermundura fauveli,NA,Polychaetes
hesionura elongata,NA,Polychaetes
heterocarpus laevigatus,NA,Crustaceans
heteromastus filiformis,NA,Polychaetes
heterophotus ophistoma,21133028,Bony fishes
heterosquilloides insignis,NA,Crustaceans
heteroteuthis serventyi,NA,Cephalopods
hexagrammos decagrammus,158882453,Bony fishes
hexagrammos lagocephalus,158882544,Bony fishes
hexagrammos octogrammus,NA,Bony fishes
hexagrammos stelleri,NA,Bony fishes
hexanchus griseus,10030,Elasmobranchs
himantolophus rostratus,60470918,Bony fishes
himantolophus sagamius,140079099,Bony fishes
hippasteria californica,NA,Echinoderms
hippasteria lepidonotus,NA,Echinoderms
hippasteria phrygiana,NA,Echinoderms
hippoglossoides elassodon,158625653,Bony fishes
hippoglossoides robustus,158625914,Bony fishes
hippoglossus stenolepis,158625941,Bony fishes
hippomedon denticulatus,NA,Crustaceans
histiobranchus bathybius,199249,Bony fishes
histrionicus histrionicus,22680423,Seabirds
histriophoca fasciata,41670,Marine mammals
holtbyrnia innesi,21104612,Bony fishes
holtbyrnia latifrons,NA,Bony fishes
hoplostethus mento,123359108,Bony fishes
howella brodiei,NA,Bony fishes
howella parini,NA,Bony fishes
howella zina,NA,Bony fishes
humilaria kennerleyi,NA,Molluscs
hydrobates furcatus,22698572,Seabirds
hydroides norvegica,NA,Polychaetes
hydroprogne caspia,22694524,Seabirds
hymenaster quadrispinosus,NA,Echinoderms
hymenocephalus aterrimus,135385234,Bony fishes
hymenodora frontalis,NA,Crustaceans
hymenodora glacialis,NA,Crustaceans
hymenodora gracilis,NA,Crustaceans
hymenopenaeus doris,NA,Crustaceans
hymenopenaeus halli,NA,Crustaceans
hyperprosopon argenteum,NA,Bony fishes
hyperprosopon ellipticum,NA,Bony fishes
hypomesus pretiosus,NA,Bony fishes
hypsagonus quadricornis,NA,Bony fishes
ianiropsis kincaidi,NA,Crustaceans
icelinus borealis,NA,Bony fishes
icelinus burchami,NA,Bony fishes
icelinus filamentosus,155216,Bony fishes
icelinus fimbriatus,NA,Bony fishes
icelinus tenuis,NA,Bony fishes
icelus canaliculatus,NA,Bony fishes
icelus spatula,NA,Bony fishes
icelus spiniger,NA,Bony fishes
ichthyococcus elongatus,137558996,Bony fishes
icichthys lockingtoni,NA,Bony fishes
icosteus aenigmaticus,NA,Bony fishes
idotea rufescens,NA,Crustaceans
idotea urotoma,NA,Crustaceans
isopsetta isolepis,158626318,Bony fishes
isurus oxyrinchus,39341,Elasmobranchs
isurus oxyrinchus,161749,Elasmobranchs
isurus oxyrinchus,161750,Elasmobranchs
isurus oxyrinchus,161751,Elasmobranchs
japetella diaphana,162986,Cephalopods
javania cailleti,NA,Corals and anemones
javania lamprotichum,NA,Corals and anemones
joeropsis dubia,NA,Crustaceans
jordania zonope,NA,Bony fishes
kali macrura,60471825,Bony fishes
kogia breviceps,11047,Marine mammals
kuronezumia bubonis,154969,Bony fishes
lacuna vincta,NA,Molluscs
laemonema robustum,60471850,Bony fishes
laetmonice producta,NA,Polychaetes
lagenorhynchus obliquidens,11145,Marine mammals
lagocephalus lagocephalus,190464,Bony fishes
lamellibrachia barhami,NA,Polychaetes
lamna ditropis,39342,Elasmobranchs
lampadena urophaos,68064111,Bony fishes
lampadena yaquinae,129300151,Bony fishes
lampanyctus acanthurus,129300299,Bony fishes
lampanyctus jordani,154674,Bony fishes
lampanyctus omostigma,129391467,Bony fishes
lampanyctus ritteri,129394449,Bony fishes
lampris guttatus,195038,Bony fishes
lamprogrammus brunswigi,60471877,Bony fishes
lanice conchilega,NA,Polychaetes
laonice cirrata,NA,Polychaetes
larus californicus,22694321,Seabirds
larus canus,22694308,Seabirds
larus delawarensis,22694317,Seabirds
larus glaucescens,22694334,Seabirds
larus glaucoides,22729877,Seabirds
larus heermanni,22694296,Seabirds
larus hyperboreus,22694343,Seabirds
larus occidentalis,22694337,Seabirds
larus philadelphia,22694432,Seabirds
larus smithsonianus,62030590,Seabirds
lasiognathus beebei,190303,Bony fishes
lebbeus grandimanus,NA,Crustaceans
lebbeus groenlandicus,NA,Crustaceans
lebbeus polaris,NA,Crustaceans
leodice australis,NA,Polychaetes
lepidogobius lepidus,NA,Bony fishes
lepidonotopodium piscesae,NA,Polychaetes
lepidopsetta bilineata,158631442,Bony fishes
lepidopsetta polyxystra,158631806,Bony fishes
leptasterias polaris,NA,Echinoderms
leptocephalus giganteus,NA,Bony fishes
leptochilichthys agassizii,15601934,Bony fishes
leptoclinus maculatus,NA,Bony fishes
leptocottus armatus,202670,Bony fishes
leptychaster anomalus,NA,Echinoderms
leptychaster arcticus,NA,Echinoderms
leptychaster pacificus,NA,Echinoderms
lestidiops pacificus,123324701,Bony fishes
lestidiops ringens,154635,Bony fishes
lestidiops sphyraenopsis,123324812,Bony fishes
leukoma staminea,NA,Molluscs
leuroglossus schmidti,NA,Bony fishes
leuroglossus stilbius,NA,Bony fishes
limanda aspera,158631834,Bony fishes
limanda proboscidea,158631929,Bony fishes
limneria prolongata,NA,Molluscs
limnoria lignorum,NA,Crustaceans
limnoria tripunctata,NA,Crustaceans
linophryne coronata,140198461,Bony fishes
linophryne pennibarbata,21112898,Bony fishes
liocyma fluctuosa,NA,Molluscs
liparis callyodon,NA,Bony fishes
liparis cyclopus,NA,Bony fishes
liparis dennyi,NA,Bony fishes
liparis florae,NA,Bony fishes
liparis fucensis,NA,Bony fishes
liparis gibbus,NA,Bony fishes
liparis mucosus,NA,Bony fishes
liparis ochotensis,NA,Bony fishes
liparis pulchellus,NA,Bony fishes
liparis rutteri,NA,Bony fishes
lipariscus nanus,NA,Bony fishes
lipolagus ochotensis,NA,Bony fishes
lirobittium attenuatum,NA,Molluscs
lissodelphis borealis,12125,Marine mammals
lithodes aequispinus,NA,Crustaceans
littorina keenae,NA,Molluscs
lobianchia gemellarii,190425,Bony fishes
lophaster furcilliger,NA,Echinoderms
lophodolos indicus,154698,Bony fishes
lopholithodes mandtii,NA,Crustaceans
lophotus capellei,190423,Bony fishes
loxorhynchus crispatus,NA,Crustaceans
luciobrotula bartschi,137566428,Bony fishes
luidia foliolata,NA,Echinoderms
lumbrineris inflata,NA,Polychaetes
lumbrineris japonica,NA,Polychaetes
lumbrineris latreilli,NA,Polychaetes
lumpenella longirostris,NA,Bony fishes
lumpenopsis hypochroma,NA,Bony fishes
lumpenus fabricii,NA,Bony fishes
lumpenus sagitta,NA,Bony fishes
luvarus imperialis,190116,Bony fishes
lycenchelys camchatica,NA,Bony fishes
lycenchelys crotalinus,NA,Bony fishes
lycenchelys jordani,NA,Bony fishes
lycenchelys micropora,NA,Bony fishes
lycenchelys pearcyi,NA,Bony fishes
lycenchelys porifer,NA,Bony fishes
